pairwise;pairwise1;pairwise2
('henning', 'singapore');henning;singapore
('told', 'cnbc');told;cnbc
('donald', 'trump');donald;trump
('click', 'enlarge');click;enlarge
('joseph', 'radford');joseph;radford
('christopher', 'johnson');christopher;johnson
('exporting', 'countries');exporting;countries
('inventories', 'fell');inventories;fell
('reporting', 'aaron');reporting;aaron
('data', 'showed');data;showed
('hedge', 'funds');hedge;funds
('third', 'quarter');third;quarter
('editing', 'joseph');editing;joseph
('irina', 'slav');irina;slav
('sheldrick', 'tokyo');sheldrick;tokyo
('iranian', 'exports');iranian;exports
('west', 'wti');west;wti
('information', 'administration');information;administration
('cash', 'flow');cash;flow
('slav', 'top');slav;top
('venezuela', 'libya');venezuela;libya
('rig', 'count');rig;count
('organization', 'exporting');organization;exporting
('oklahoma', 'delivery');oklahoma;delivery
('johnson', 'london');johnson;london
('aaron', 'sheldrick');aaron;sheldrick
('three', 'years');three;years
('reporting', 'gloystein');reporting;gloystein
('editing', 'radford');editing;radford
('petroleum', 'institute');petroleum;institute
('north', 'sea');north;sea
('first', 'time');first;time
('cushing', 'oklahoma');cushing;oklahoma
('long', 'positions');long;positions
('west', 'texas');west;texas
('president', 'trump');president;trump
('aaron', 'editing');aaron;editing
('next', 'month');next;month
('texas', 'intermediate');texas;intermediate
('irina', 'reads');irina;reads
('trump', 'administration');trump;administration
('ahead', 'meeting');ahead;meeting
('tsvetana', 'reads');tsvetana;reads
('irina', 'top');irina;top
('american', 'institute');american;institute
('international', 'agency');international;agency
('petroleum', 'countries');petroleum;countries
('petroleum', 'exporting');petroleum;exporting
('vienna', 'june');vienna;june
('edmund', 'blair');edmund;blair
('president', 'donald');president;donald
('producers', 'including');producers;including
('richard', 'pullin');richard;pullin
('spare', 'capacity');spare;capacity
('world', 'producer');world;producer
('singapore', 'editing');singapore;editing
('reporting', 'henning');reporting;henning
('according', 'data');according;data
('inventories', 'rose');inventories;rose
('july', 'rose');july;rose
('pvm', 'associates');pvm;associates
('organization', 'petroleum');organization;petroleum
('texas', 'wti');texas;wti
('editing', 'marguerita');editing;marguerita
('sources', 'told');sources;told
('editing', 'choy');editing;choy
('middle', 'east');middle;east
('investment', 'bank');investment;bank
('two', 'sources');two;sources
('additional', 'reporting');additional;reporting
('henning', 'gloystein');henning;gloystein
('record', 'high');record;high
('west', 'intermediate');west;intermediate
('christopher', 'london');christopher;london
('paraskova', 'top');paraskova;top
('tsvetana', 'paraskova');tsvetana;paraskova
('intermediate', 'wti');intermediate;wti
('two', 'years');two;years
('tsvetana', 'top');tsvetana;top
('second', 'half');second;half
('paraskova', 'reads');paraskova;reads
('world', 'biggest');world;biggest
('nuclear', 'deal');nuclear;deal
('net', 'long');net;long
('previous', 'session');previous;session
('gulf', 'coast');gulf;coast
('slav', 'reads');slav;reads
('henning', 'editing');henning;editing
('reporting', 'sheldrick');reporting;sheldrick
('reporting', 'editing');reporting;editing
('american', 'petroleum');american;petroleum
('cushing', 'delivery');cushing;delivery
('gloystein', 'editing');gloystein;editing
('edt', 'gmt');edt;gmt
('european', 'union');european;union
('top', 'reads');top;reads
('sheldrick', 'editing');sheldrick;editing
('marguerita', 'choy');marguerita;choy
('aaron', 'tokyo');aaron;tokyo
('gloystein', 'singapore');gloystein;singapore
